WorkOrder_ID,Equipment_Tag,Functional_Location,Order_Type,Priority,Description,Reported_Date,Completed_Date,Labor_Hours,Cost_INR,ISO14224_Failure_Mode,Technician_ID,Approval_Status
WO-880032,HX-918,MRPL-HZ-CDU-HX918,PM03,LOW,Routine inspection and preventive overhaul for HX-918,2024-09-11,2024-09-17,36.2,67836,COR,TECH-116,APPROVED_AND_CLOSED
WO-880033,P-101A,MRPL-HZ-CDU-P101A,PM01,LOW,Routine inspection and preventive overhaul for P-101A,2025-12-17,2025-12-27,70.8,391564,COR,TECH-110,APPROVED_AND_CLOSED
WO-880034,T-401,MRPL-HZ-CDU-T401,PM01,MEDIUM,Annual transmitter calibration and span adjustment on T-401,2026-07-26,2026-08-03,5.6,396930,CAL,TECH-117,APPROVED_AND_CLOSED
WO-880035,HX-918,MRPL-HZ-CDU-HX918,PM01,VERY_HIGH,Coupling laser alignment and balancing on HX-918,2025-02-26,2025-03-07,38.7,459719,VIB,TECH-122,APPROVED_AND_CLOSED
WO-880036,P-101A,MRPL-HZ-CDU-P101A,PM02,HIGH,Mechanical seal Plan 53B cartridge replacement on P-101A,2025-05-17,2025-05-24,53.0,465478,ELU,TECH-112,APPROVED_AND_CLOSED
WO-880037,K-203,MRPL-HZ-CDU-K203,PM03,VERY_HIGH,Routine inspection and preventive overhaul for K-203,2024-09-09,2024-09-14,36.0,175581,COR,TECH-124,APPROVED_AND_CLOSED
WO-880038,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,LOW,Routine inspection and preventive overhaul for Reactor-B,2024-01-25,2024-02-06,26.0,172980,FTC,TECH-109,APPROVED_AND_CLOSED
WO-880039,HX-918,MRPL-HZ-CDU-HX918,PM02,VERY_HIGH,Coupling laser alignment and balancing on HX-918,2024-10-02,2024-10-04,20.3,432123,VIB,TECH-121,APPROVED_AND_CLOSED
WO-880040,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,LOW,Annual transmitter calibration and span adjustment on Reactor-B,2024-05-09,2024-05-18,12.9,179404,CAL,TECH-117,APPROVED_AND_CLOSED
WO-880041,HX-918,MRPL-HZ-CDU-HX918,PM02,VERY_HIGH,Routine inspection and preventive overhaul for HX-918,2024-12-16,2024-12-28,40.3,80073,INS,TECH-114,APPROVED_AND_CLOSED
WO-880042,T-401,MRPL-HZ-CDU-T401,PM03,MEDIUM,Annual transmitter calibration and span adjustment on T-401,2025-04-23,2025-04-29,32.6,305786,CAL,TECH-110,APPROVED_AND_CLOSED
WO-880043,P-101A,MRPL-HZ-CDU-P101A,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on P-101A,2026-03-20,2026-04-01,30.3,406287,ELU,TECH-118,APPROVED_AND_CLOSED
WO-880044,K-203,MRPL-HZ-CDU-K203,PM01,HIGH,Coupling laser alignment and balancing on K-203,2026-03-02,2026-03-08,39.4,302695,VIB,TECH-121,APPROVED_AND_CLOSED
WO-880045,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,MEDIUM,Coupling laser alignment and balancing on Reactor-B,2026-07-11,2026-07-22,9.4,381425,VIB,TECH-120,APPROVED_AND_CLOSED
WO-880046,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,HIGH,Coupling laser alignment and balancing on Reactor-B,2024-05-23,2024-05-31,55.3,369139,VIB,TECH-120,APPROVED_AND_CLOSED
WO-880047,P-101A,MRPL-HZ-CDU-P101A,PM02,MEDIUM,Routine inspection and preventive overhaul for P-101A,2024-11-30,2024-12-02,26.0,214944,INS,TECH-110,APPROVED_AND_CLOSED
WO-880048,HX-918,MRPL-HZ-CDU-HX918,PM01,LOW,High bearing temperature remediation on HX-918; lube flush,2024-10-01,2024-10-04,61.6,63959,OHG,TECH-122,APPROVED_AND_CLOSED
WO-880049,K-203,MRPL-HZ-CDU-K203,PM01,MEDIUM,Routine inspection and preventive overhaul for K-203,2024-07-27,2024-08-03,21.4,175798,INS,TECH-122,APPROVED_AND_CLOSED
WO-880050,PT-101,MRPL-HZ-CDU-PT101,PM02,MEDIUM,Routine inspection and preventive overhaul for PT-101,2025-11-19,2025-11-24,59.2,39075,COR,TECH-107,APPROVED_AND_CLOSED
WO-880051,TT-204,MRPL-HZ-CDU-TT204,PM02,VERY_HIGH,Routine inspection and preventive overhaul for TT-204,2026-02-07,2026-02-18,42.5,424429,INS,TECH-108,APPROVED_AND_CLOSED
WO-880052,TT-204,MRPL-HZ-CDU-TT204,PM01,VERY_HIGH,Coupling laser alignment and balancing on TT-204,2026-06-01,2026-06-11,54.3,64004,VIB,TECH-125,APPROVED_AND_CLOSED
WO-880053,K-203,MRPL-HZ-CDU-K203,PM02,HIGH,Routine inspection and preventive overhaul for K-203,2024-11-21,2024-11-30,65.5,132341,INS,TECH-124,APPROVED_AND_CLOSED
WO-880054,PT-101,MRPL-HZ-CDU-PT101,PM01,LOW,Mechanical seal Plan 53B cartridge replacement on PT-101,2026-05-06,2026-05-07,30.4,114419,ELU,TECH-103,APPROVED_AND_CLOSED
WO-880055,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Coupling laser alignment and balancing on SV-402,2025-08-02,2025-08-09,25.3,349785,VIB,TECH-120,APPROVED_AND_CLOSED
WO-880056,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Annual transmitter calibration and span adjustment on Reactor-B,2025-07-24,2025-07-25,20.2,187150,CAL,TECH-110,APPROVED_AND_CLOSED
WO-880057,PT-101,MRPL-HZ-CDU-PT101,PM02,HIGH,Coupling laser alignment and balancing on PT-101,2026-03-02,2026-03-16,44.4,283148,VIB,TECH-108,APPROVED_AND_CLOSED
WO-880058,T-401,MRPL-HZ-CDU-T401,PM01,HIGH,Routine inspection and preventive overhaul for T-401,2024-07-22,2024-07-27,67.9,438683,FTC,TECH-113,APPROVED_AND_CLOSED
WO-880059,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Coupling laser alignment and balancing on SV-402,2026-06-13,2026-06-15,49.6,365955,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880060,TT-204,MRPL-HZ-CDU-TT204,PM01,MEDIUM,Routine inspection and preventive overhaul for TT-204,2024-05-17,2024-05-21,35.0,359236,INS,TECH-110,APPROVED_AND_CLOSED
WO-880061,SV-402,MRPL-HZ-CDU-SV402,PM02,VERY_HIGH,Routine inspection and preventive overhaul for SV-402,2024-07-21,2024-07-28,35.8,436811,FTC,TECH-106,APPROVED_AND_CLOSED
WO-880062,P-101A,MRPL-HZ-CDU-P101A,PM02,LOW,Routine inspection and preventive overhaul for P-101A,2025-07-10,2025-07-20,37.8,407192,COR,TECH-111,APPROVED_AND_CLOSED
WO-880063,HX-918,MRPL-HZ-CDU-HX918,PM02,MEDIUM,High bearing temperature remediation on HX-918; lube flush,2024-05-02,2024-05-12,36.0,140470,OHG,TECH-105,APPROVED_AND_CLOSED
WO-880064,K-203,MRPL-HZ-CDU-K203,PM03,VERY_HIGH,Routine inspection and preventive overhaul for K-203,2025-09-20,2025-10-04,49.3,428612,FTC,TECH-117,APPROVED_AND_CLOSED
WO-880065,P-101A,MRPL-HZ-CDU-P101A,PM03,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on P-101A,2025-06-03,2025-06-17,40.1,132008,ELU,TECH-114,APPROVED_AND_CLOSED
WO-880066,PT-101,MRPL-HZ-CDU-PT101,PM01,HIGH,Coupling laser alignment and balancing on PT-101,2024-06-02,2024-06-06,53.7,45220,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880067,SV-402,MRPL-HZ-CDU-SV402,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on SV-402,2026-06-04,2026-06-05,56.2,256377,ELU,TECH-109,APPROVED_AND_CLOSED
WO-880068,PT-101,MRPL-HZ-CDU-PT101,PM01,HIGH,Routine inspection and preventive overhaul for PT-101,2026-05-07,2026-05-08,35.6,14152,FTC,TECH-102,APPROVED_AND_CLOSED
WO-880069,T-401,MRPL-HZ-CDU-T401,PM01,MEDIUM,Routine inspection and preventive overhaul for T-401,2025-12-22,2026-01-01,34.5,93329,FTC,TECH-107,APPROVED_AND_CLOSED
WO-880070,P-101A,MRPL-HZ-CDU-P101A,PM02,MEDIUM,High bearing temperature remediation on P-101A; lube flush,2024-06-18,2024-06-24,46.5,292880,OHG,TECH-101,APPROVED_AND_CLOSED
WO-880071,TT-204,MRPL-HZ-CDU-TT204,PM01,LOW,Mechanical seal Plan 53B cartridge replacement on TT-204,2026-08-05,2026-08-19,67.9,441477,ELU,TECH-104,APPROVED_AND_CLOSED
WO-880072,P-101B,MRPL-HZ-CDU-P101B,PM03,HIGH,High bearing temperature remediation on P-101B; lube flush,2024-11-24,2024-12-03,67.2,426093,OHG,TECH-115,APPROVED_AND_CLOSED
WO-880073,P-101A,MRPL-HZ-CDU-P101A,PM02,VERY_HIGH,Coupling laser alignment and balancing on P-101A,2025-02-01,2025-02-06,46.8,219933,VIB,TECH-102,APPROVED_AND_CLOSED
WO-880074,HX-918,MRPL-HZ-CDU-HX918,PM03,HIGH,Mechanical seal Plan 53B cartridge replacement on HX-918,2026-03-17,2026-03-28,34.3,352584,ELU,TECH-114,APPROVED_AND_CLOSED
WO-880075,P-101B,MRPL-HZ-CDU-P101B,PM02,LOW,Routine inspection and preventive overhaul for P-101B,2024-08-06,2024-08-09,60.3,442651,FTC,TECH-106,APPROVED_AND_CLOSED
WO-880076,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on SV-402,2026-04-22,2026-04-25,47.6,132269,ELU,TECH-112,APPROVED_AND_CLOSED
WO-880077,SV-402,MRPL-HZ-CDU-SV402,PM03,LOW,Mechanical seal Plan 53B cartridge replacement on SV-402,2024-03-01,2024-03-14,34.2,457446,ELU,TECH-125,APPROVED_AND_CLOSED
WO-880078,TT-204,MRPL-HZ-CDU-TT204,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on TT-204,2026-01-01,2026-01-03,55.5,407842,ELU,TECH-101,APPROVED_AND_CLOSED
WO-880079,T-401,MRPL-HZ-CDU-T401,PM01,LOW,Routine inspection and preventive overhaul for T-401,2024-01-24,2024-01-26,6.6,401505,COR,TECH-102,APPROVED_AND_CLOSED
WO-880080,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,HIGH,Routine inspection and preventive overhaul for Reactor-B,2025-09-20,2025-09-30,60.5,243075,COR,TECH-111,APPROVED_AND_CLOSED
WO-880081,K-203,MRPL-HZ-CDU-K203,PM01,MEDIUM,Routine inspection and preventive overhaul for K-203,2024-11-25,2024-11-26,15.3,214457,INS,TECH-101,APPROVED_AND_CLOSED
WO-880082,TT-204,MRPL-HZ-CDU-TT204,PM03,VERY_HIGH,Routine inspection and preventive overhaul for TT-204,2026-08-21,2026-09-01,44.3,255838,INS,TECH-104,APPROVED_AND_CLOSED
WO-880083,HX-918,MRPL-HZ-CDU-HX918,PM02,VERY_HIGH,Coupling laser alignment and balancing on HX-918,2026-03-27,2026-04-01,15.9,27974,VIB,TECH-119,APPROVED_AND_CLOSED
WO-880084,K-203,MRPL-HZ-CDU-K203,PM02,MEDIUM,Routine inspection and preventive overhaul for K-203,2025-07-15,2025-07-19,49.7,328927,INS,TECH-104,APPROVED_AND_CLOSED
WO-880085,K-203,MRPL-HZ-CDU-K203,PM02,VERY_HIGH,Annual transmitter calibration and span adjustment on K-203,2025-05-05,2025-05-14,36.2,319845,CAL,TECH-105,APPROVED_AND_CLOSED
WO-880086,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,MEDIUM,Annual transmitter calibration and span adjustment on Reactor-B,2026-08-12,2026-08-15,42.7,440022,CAL,TECH-117,APPROVED_AND_CLOSED
WO-880087,SV-402,MRPL-HZ-CDU-SV402,PM03,HIGH,Routine inspection and preventive overhaul for SV-402,2025-01-08,2025-01-10,31.3,133102,COR,TECH-103,APPROVED_AND_CLOSED
WO-880088,P-101B,MRPL-HZ-CDU-P101B,PM02,LOW,Annual transmitter calibration and span adjustment on P-101B,2026-04-18,2026-04-19,19.0,254060,CAL,TECH-111,APPROVED_AND_CLOSED
WO-880089,T-401,MRPL-HZ-CDU-T401,PM03,VERY_HIGH,Routine inspection and preventive overhaul for T-401,2025-04-07,2025-04-18,5.7,239028,COR,TECH-121,APPROVED_AND_CLOSED
WO-880090,HX-918,MRPL-HZ-CDU-HX918,PM02,VERY_HIGH,Coupling laser alignment and balancing on HX-918,2024-09-18,2024-09-22,5.6,97837,VIB,TECH-116,APPROVED_AND_CLOSED
WO-880091,P-101B,MRPL-HZ-CDU-P101B,PM02,LOW,Routine inspection and preventive overhaul for P-101B,2025-02-20,2025-03-06,28.9,302727,FTC,TECH-116,APPROVED_AND_CLOSED
WO-880092,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,MEDIUM,Routine inspection and preventive overhaul for Reactor-B,2026-03-12,2026-03-15,8.8,250507,COR,TECH-122,APPROVED_AND_CLOSED
WO-880093,PT-101,MRPL-HZ-CDU-PT101,PM02,HIGH,Annual transmitter calibration and span adjustment on PT-101,2025-07-30,2025-08-11,60.7,132080,CAL,TECH-106,APPROVED_AND_CLOSED
WO-880094,K-203,MRPL-HZ-CDU-K203,PM03,MEDIUM,High bearing temperature remediation on K-203; lube flush,2026-03-06,2026-03-07,11.3,107918,OHG,TECH-102,APPROVED_AND_CLOSED
WO-880095,P-101A,MRPL-HZ-CDU-P101A,PM01,HIGH,Annual transmitter calibration and span adjustment on P-101A,2025-02-20,2025-02-28,45.1,247115,CAL,TECH-124,APPROVED_AND_CLOSED
WO-880096,K-203,MRPL-HZ-CDU-K203,PM03,HIGH,Routine inspection and preventive overhaul for K-203,2026-03-12,2026-03-18,51.5,67334,FTC,TECH-105,APPROVED_AND_CLOSED
WO-880097,P-101A,MRPL-HZ-CDU-P101A,PM02,HIGH,Mechanical seal Plan 53B cartridge replacement on P-101A,2024-10-09,2024-10-18,53.4,389576,ELU,TECH-106,APPROVED_AND_CLOSED
WO-880098,TT-204,MRPL-HZ-CDU-TT204,PM01,MEDIUM,Mechanical seal Plan 53B cartridge replacement on TT-204,2025-03-08,2025-03-18,6.7,97678,ELU,TECH-105,APPROVED_AND_CLOSED
WO-880099,K-203,MRPL-HZ-CDU-K203,PM03,VERY_HIGH,Coupling laser alignment and balancing on K-203,2025-10-10,2025-10-21,41.6,159573,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880100,HX-918,MRPL-HZ-CDU-HX918,PM02,LOW,Routine inspection and preventive overhaul for HX-918,2024-08-10,2024-08-17,4.2,407610,INS,TECH-102,APPROVED_AND_CLOSED
WO-880101,TT-204,MRPL-HZ-CDU-TT204,PM01,MEDIUM,Mechanical seal Plan 53B cartridge replacement on TT-204,2026-01-28,2026-01-29,48.9,285798,ELU,TECH-120,APPROVED_AND_CLOSED
WO-880102,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Annual transmitter calibration and span adjustment on Reactor-B,2024-02-04,2024-02-07,5.9,272617,CAL,TECH-113,APPROVED_AND_CLOSED
WO-880103,P-101A,MRPL-HZ-CDU-P101A,PM02,HIGH,Routine inspection and preventive overhaul for P-101A,2025-08-31,2025-09-08,31.1,419619,INS,TECH-114,APPROVED_AND_CLOSED
WO-880104,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,HIGH,Coupling laser alignment and balancing on Reactor-B,2024-05-08,2024-05-18,4.3,46676,VIB,TECH-106,APPROVED_AND_CLOSED
WO-880105,T-401,MRPL-HZ-CDU-T401,PM03,VERY_HIGH,Annual transmitter calibration and span adjustment on T-401,2024-07-19,2024-07-24,38.0,94367,CAL,TECH-113,APPROVED_AND_CLOSED
WO-880106,TT-204,MRPL-HZ-CDU-TT204,PM03,LOW,Routine inspection and preventive overhaul for TT-204,2024-07-09,2024-07-13,21.8,30423,COR,TECH-112,APPROVED_AND_CLOSED
WO-880107,T-401,MRPL-HZ-CDU-T401,PM01,VERY_HIGH,Routine inspection and preventive overhaul for T-401,2024-02-19,2024-03-04,70.7,467584,FTC,TECH-117,APPROVED_AND_CLOSED
WO-880108,K-203,MRPL-HZ-CDU-K203,PM03,VERY_HIGH,Routine inspection and preventive overhaul for K-203,2024-07-16,2024-07-19,20.3,352966,INS,TECH-123,APPROVED_AND_CLOSED
WO-880109,P-101B,MRPL-HZ-CDU-P101B,PM01,VERY_HIGH,Coupling laser alignment and balancing on P-101B,2025-09-16,2025-09-18,45.2,61166,VIB,TECH-118,APPROVED_AND_CLOSED
WO-880110,HX-918,MRPL-HZ-CDU-HX918,PM01,VERY_HIGH,Routine inspection and preventive overhaul for HX-918,2025-03-14,2025-03-18,71.8,415899,INS,TECH-102,APPROVED_AND_CLOSED
WO-880111,SV-402,MRPL-HZ-CDU-SV402,PM01,HIGH,Routine inspection and preventive overhaul for SV-402,2024-08-21,2024-08-31,18.5,229908,INS,TECH-106,APPROVED_AND_CLOSED
WO-880112,P-101A,MRPL-HZ-CDU-P101A,PM01,MEDIUM,Routine inspection and preventive overhaul for P-101A,2024-10-10,2024-10-22,12.9,270494,FTC,TECH-121,APPROVED_AND_CLOSED
WO-880113,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,LOW,High bearing temperature remediation on Reactor-B; lube flush,2024-05-04,2024-05-09,6.4,280470,OHG,TECH-103,APPROVED_AND_CLOSED
WO-880114,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Routine inspection and preventive overhaul for SV-402,2025-10-19,2025-10-30,35.7,170303,FTC,TECH-102,APPROVED_AND_CLOSED
WO-880115,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,HIGH,Annual transmitter calibration and span adjustment on Reactor-B,2026-07-29,2026-08-01,55.7,223080,CAL,TECH-123,APPROVED_AND_CLOSED
WO-880116,SV-402,MRPL-HZ-CDU-SV402,PM01,HIGH,Routine inspection and preventive overhaul for SV-402,2025-03-21,2025-03-22,38.0,213978,FTC,TECH-122,APPROVED_AND_CLOSED
WO-880117,P-101B,MRPL-HZ-CDU-P101B,PM02,MEDIUM,High bearing temperature remediation on P-101B; lube flush,2025-06-03,2025-06-04,28.6,98617,OHG,TECH-110,APPROVED_AND_CLOSED
WO-880118,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,MEDIUM,Routine inspection and preventive overhaul for Reactor-B,2024-05-27,2024-05-30,71.3,77670,COR,TECH-104,APPROVED_AND_CLOSED
WO-880119,HX-918,MRPL-HZ-CDU-HX918,PM02,LOW,Routine inspection and preventive overhaul for HX-918,2025-09-14,2025-09-17,49.9,111660,FTC,TECH-104,APPROVED_AND_CLOSED
WO-880120,SV-402,MRPL-HZ-CDU-SV402,PM02,MEDIUM,Coupling laser alignment and balancing on SV-402,2024-03-15,2024-03-24,26.3,60409,VIB,TECH-125,APPROVED_AND_CLOSED
WO-880121,T-401,MRPL-HZ-CDU-T401,PM01,MEDIUM,Routine inspection and preventive overhaul for T-401,2025-09-20,2025-10-01,36.4,73492,COR,TECH-120,APPROVED_AND_CLOSED
WO-880122,SV-402,MRPL-HZ-CDU-SV402,PM01,HIGH,Annual transmitter calibration and span adjustment on SV-402,2025-02-10,2025-02-15,41.3,154104,CAL,TECH-109,APPROVED_AND_CLOSED
WO-880123,PT-101,MRPL-HZ-CDU-PT101,PM03,HIGH,Coupling laser alignment and balancing on PT-101,2024-01-28,2024-02-07,27.0,117337,VIB,TECH-104,APPROVED_AND_CLOSED
WO-880124,K-203,MRPL-HZ-CDU-K203,PM01,MEDIUM,Routine inspection and preventive overhaul for K-203,2024-02-14,2024-02-26,22.7,277172,INS,TECH-114,APPROVED_AND_CLOSED
WO-880125,SV-402,MRPL-HZ-CDU-SV402,PM02,VERY_HIGH,Routine inspection and preventive overhaul for SV-402,2026-03-28,2026-04-09,28.8,465907,COR,TECH-124,APPROVED_AND_CLOSED
WO-880126,P-101B,MRPL-HZ-CDU-P101B,PM02,HIGH,Routine inspection and preventive overhaul for P-101B,2026-01-28,2026-01-30,14.8,475601,FTC,TECH-109,APPROVED_AND_CLOSED
WO-880127,T-401,MRPL-HZ-CDU-T401,PM03,LOW,Annual transmitter calibration and span adjustment on T-401,2024-03-22,2024-03-31,58.0,309299,CAL,TECH-122,APPROVED_AND_CLOSED
WO-880128,HX-918,MRPL-HZ-CDU-HX918,PM01,VERY_HIGH,High bearing temperature remediation on HX-918; lube flush,2026-05-23,2026-05-28,4.5,433749,OHG,TECH-110,APPROVED_AND_CLOSED
WO-880129,P-101A,MRPL-HZ-CDU-P101A,PM03,MEDIUM,Mechanical seal Plan 53B cartridge replacement on P-101A,2024-06-25,2024-06-30,25.6,427065,ELU,TECH-113,APPROVED_AND_CLOSED
WO-880130,P-101A,MRPL-HZ-CDU-P101A,PM01,MEDIUM,Mechanical seal Plan 53B cartridge replacement on P-101A,2026-07-23,2026-08-02,24.1,346059,ELU,TECH-123,APPROVED_AND_CLOSED
